ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
30,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dienst Onderdeel,Bruikleen,Redelijk,in gebruik,Paramaribo,Hofstede Crullaan  44 Boven,E.C.D.,8-Aug-20
31,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,CCC Gebouw,Huur,Redelijk,in gebruik,Paramaribo,Hendrikstraat  69,B.I.E,8-Aug-20
32,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,KMO unit,Huur,Redelijk,in gebruik,Paramaribo,Fred Derbystraat  79 - 81,Onbekend,8-Aug-20
33,NATUURLIJKE HULPBRONNEN,Veldman,Huur,,,Paramaribo,Prins Hendrikstraat  12,Personeels en Algemene Zaken,8-Aug-20
34,NATUURLIJKE HULPBRONNEN,Hoofdkantoor,Eigendom,,,Paramaribo,DR.J.C. De Mirandastraat  11-12,DEPT. LEIDING,8-Aug-20
35,NATUURLIJKE HULPBRONNEN,Jamaludin,Huur,,,Paramaribo,Watermolenstraat  13,DWV,8-Aug-20
36,NATUURLIJKE HULPBRONNEN,DEV gebouw,Eigendom,,,Paramaribo,Grofolostraat  16,DEV,8-Aug-20
37,NATUURLIJKE HULPBRONNEN,GMD gebouw,Eigendom,,,Paramaribo,Mr. Jagernath Lachmonstraat  181,GMD,8-Aug-20
38,NATUURLIJKE HULPBRONNEN,Magazijn GMD,Eigendom,,,Paramaribo,Tennisbalstraat  2,GMD,8-Aug-20
39,NATUURLIJKE HULPBRONNEN,BFZ gebouw,Eigendom,,,Paramaribo,Grote Combeweg  9,BFZ,8-Aug-20
40,ARBEID WERKGELEGENHEID & JEUGZAKEN,Oud hoofdgebouw (monumentaal),Staat van Suriname,Vervallen,niet in gebruik/ verkocht,Paramaribo,Wagenwegstraat  22/ Hk. Malebatrumstraat,Onbekend,13-Aug-20
42,ARBEID WERKGELEGENHEID & JEUGZAKEN,Begroting en Financiele zaken,Staat van Suriname,Redelijk,diensten/ in gebruik,Paramaribo,Wagenwegstraat  47,Onbekend,13-Aug-20
43,ARBEID WERKGELEGENHEID & JEUGZAKEN,Hoofdgebouw,Granaat N.V.,Redelijk,diensten/ in gebruik,Paramaribo,Mr. E. Brumastraat   52,Onbekend,13-Aug-20
