ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
8,TRANSPORT COMMUNICATIE EN TOERISME,Cottica,Eigendom,goed,in gebruik,Sipaliwini,Cottica,Vliegdienst/onderhoud,8-Aug-20
9,TRANSPORT COMMUNICATIE EN TOERISME,Djoemoe,Eigendom,Slecht,in gebruik,Sipaliwini,Djoemoe,Vliegdienst/onderhoud,8-Aug-20
10,TRANSPORT COMMUNICATIE EN TOERISME,Drietabbetje,Eigendom,Slecht,in gebruik,Sipaliwini,Drietabbetje,Vliegdienst/onderhoud,8-Aug-20
11,TRANSPORT COMMUNICATIE EN TOERISME,Godoholo,Eigendom,Slecht,in gebruik,Sipaliwini,Godoholo,Vliegdienst/onderhoud,8-Aug-20
12,TRANSPORT COMMUNICATIE EN TOERISME,Kwamalasamoetoe,Eigendom,goed,in gebruik,Sipaliwini,Kwamalasamoetoe,Vliegdienst/onderhoud,8-Aug-20
13,TRANSPORT COMMUNICATIE EN TOERISME,Laduani,Eigendom,slecht,in gebruik,Sipaliwini,Laduani,Vliegdienst/onderhoud,8-Aug-20
14,TRANSPORT COMMUNICATIE EN TOERISME,Nw. Jaconkondre,Eigendom,Slecht,in gebruik,Sipaliwini,Nw.Jacobkondre,Vliegdienst/onderhoud,8-Aug-20
15,TRANSPORT COMMUNICATIE EN TOERISME,Palumeu,Eigendom,Slecht,in gebruik,Sipaliwini,Paloemeu,Vliegdienst/onderhoud,8-Aug-20
16,TRANSPORT COMMUNICATIE EN TOERISME,Poesoegroenoe,Eigendom,Slecht,in gebruik,Sipaliwini,Poesoegroenoe,Vliegdienst/onderhoud,8-Aug-20
17,TRANSPORT COMMUNICATIE EN TOERISME,Sipaliwini,Eigendom,Slecht,in gebruik,Sipaliwini,Sipaliwini,Vliegdienst/onderhoud,8-Aug-20
18,TRANSPORT COMMUNICATIE EN TOERISME,Stoelmanseiland,Redelijk,Slecht,in gebruik,Sipaliwini,Stoelmanseiland,Vliegdienst/onderhoud,8-Aug-20
19,TRANSPORT COMMUNICATIE EN TOERISME,Langetabbetje,Eigendom,Slecht,in gebruik,Sipaliwini,Langetabbetje,Vliegdienst/onderhoud,8-Aug-20
20,GRONDBELEID EN BOSBEHEER,Raleighvallen,Eigendom van de Staat,Slecht,leegstaand,Sipaliwini,Gongrijpstraat 25,Buitenposten (Jachtopzieners),17-Aug-20
22,BINNENLANDSE ZAKEN,BVB Atjoni,Geb Min LVV,Redelijk,in gebruik,Sipaliwini,Atjoni,Diverse diensten CBB,20-Aug-20
23,BINNENLANDSE ZAKEN,BVB Debike,Geb Min RO,Slecht,in gebruik,Sipaliwini,Debike,Diverse diensten CBB,20-Aug-20
24,BINNENLANDSE ZAKEN,BVB Djoemoe,Geb MinOWC,Redelijk,in gebruik,Sipaliwini,Djoemoe,Diverse diensten CBB,20-Aug-20
25,BINNENLANDSE ZAKEN,BVB Apoera,Eigendom,Redelijk,in gebruik,Sipaliwini,Nickerieweg,Diverse diensten CBB,20-Aug-20
26,BINNENLANDSE ZAKEN,BVB Stoelmanseiland,Geb Min RO,Redelijk,Leegstaand,Sipaliwini,Stoelmanseiland,Diverse diensten CBB,20-Aug-20
27,BINNENLANDSE ZAKEN,BVB Atjoni,Eigendom,Aanbouw,in aanbouw,Sipaliwini,Achter BO- kantoor,Diverse diensten CBB,20-Aug-20
28,OPENBARE WERKEN,Afd. Restauratie & Onderhoud,eigendom,,,Sipaliwini,Apoera,Directoraat Bouwkundige werken en Dienstverlening,
29,Transport Communicatie en Toerisme,alalapadu,Eigendorn,,Niet geweest,Sipaliwini,alalapadu,vliegdienst/onderhoud,
30,Transport Communicatie en Toerisme,apetina,Eigendorn,,Niet geweest,Sipaliwini,apetina,vliegdienst/onderhoud,
31,Transport Communicatie en Toerisme,botopasi,Eigendorn,,Niet geweest,Sipaliwini,botopasi,vliegdienst/onderhoud,
32,Transport Communicatie en Toerisme,cayana,Eigendorn,,Niet geweest,Sipaliwini,cayana,vliegdienst/onderhoud,
33,transport communicatie en toerisme,coeroeni,eigendom,,Niet geweest,Sipaliwini,coeroeni,vliegdienst/onderhoud,
34,transport communicatie en toerisme,tepoe,eigendom,,Niet geweest,Sipaliwini,tepoe,vliegdienst/onderhoud,
35,transport communicatie en toerisme,coroni,eigendom,,Niet geweest,Sipaliwini,coroni,vliegdienst/onderhoud,
36,transport communicatie en toerisme,cottica,eigendom,,Niet geweest,Sipaliwini,cottica,vliegdienst/onderhoud,
37,transport communicatie en toerisme,djoemoe,eigendom,,Niet geweest,Sipaliwini,djoemoe,vliegdienst/onderhoud,
38,transport communicatie en toerisme,drietabbetje,eigendom,,Niet geweest,Sipaliwini,drietabbetje,vliegdienst/onderhoud,
39,transport communicatie en toerisme,godoholo,eigendom,,Niet geweest,Sipaliwini,godoholo,vliegdienst/onderhoud,
40,transport communicatie en toerisme,kwamalasemoetoe,eigendom,,Niet geweest,Sipaliwini,kwamalasemoetoe,vliegdienst/onderhoud,
41,transport communicatie en toerisme,laduani,eigendom,,Niet geweest,Sipaliwini,laduani,vliegdienst/onderhoud,
42,transport communicatie en toerisme,nieuw jacobkondre,eigendom,,Niet geweest,Sipaliwini,nieuw jacobkondre,vliegdienst/onderhoud,
43,transport communicatie en toerisme,palumeu,eigendom,,Niet geweest,Sipaliwini,palumeu,vliegdienst/onderhoud,
44,transport communicatie en toerisme,poesoegroenoe,eigendom,,Niet geweest,Sipaliwini,poesoegroenoe,vliegdienst/onderhoud,
45,transport communicatie en toerisme,sipaliwini,eigendom,,Niet geweest,Sipaliwini,sipaliwini,vliegdienst/onderhoud,
46,transport communicatie en toerisme,stoelmanseiland,redelijk,,Niet geweest,Sipaliwini,stoelmanseiland,vliegdienst/onderhoud,
47,transport communicatie en toerisme,langatabbetje,eigendom,,Niet geweest,Sipaliwini,langatabbetje,vliegdienst/onderhoud,
48,econ.zaken ondernemerschap en techn.innovatie,dependance atjoni,bruikleen,,Niet geweest,Sipaliwini,commissariaat sipaliwini,ecd w&y en ondernemerschap,
51,BINNENLANDSE ZAKEN,BVB atjoni,GebMin lvv,,Niet geweest,sipaliwini,atjoni,Diverse diensten CBB,
52,BINNENLANDSE ZAKEN,BVB debike,GebMin RO,,Niet geweest,sipaliwini,debike,Diverse diensten CBB,
53,BINNENLANDSE ZAKEN,BVB djoemoe,GebMin owc,,Niet geweest,sipaliwini,djoemoe,Diverse diensten CBB,
54,BINNENLANDSE ZAKEN,BVB apoera,Eigendom,,Niet geweest,sipaliwini,nickerieweg,Diverse diensten CBB,
55,BINNENLANDSE ZAKEN,BVB stoelmanseiland,GebMin RO,,Niet geweest,sipaliwini,stoelmanseiland,Diverse diensten CBB,
56,BINNENLANDSE ZAKEN,BVB atjoni,Eigendom,,Niet geweest,sipaliwini,achter bo-kantoor,Diverse diensten CBB,
29,DEFENSIE,Post Benzdorp,Ter beschikking,Redelijk,in gebruik,Sipaliwinie,Benzdorp,Buitenpost,2-Oct-20
30,DEFENSIE,Post Apoera,Aanvraag Ter Beschikking ,Redelijk,in gebruik,Sipaliwinie,Apoera,Detachement,2-Oct-20
31,DEFENSIE,Post Lawa Tabiki,Ter beschikking,Redelijk,in gebruik,Sipaliwinie,Eiland Lawa Tabiki,Detachement,2-Oct-20
32,DEFENSIE,Legering Snesi Kondre,"Nog opmeten, Kaart, Aanvraag Ter Beschikking ",Afgekeurd,niet in gebruik,Sipaliwinie,Snesi Kondre,Detachement,2-Oct-20
33,ONDERWIJS WETENSCHAP EN CULTUUR,Woning (Abauna Semeolie),Huurpand,,gebruik stopgezet,Sipaliwinie,Goejaba,Directoraat Onderwijs,2-Oct-20
34,ONDERWIJS WETENSCHAP EN CULTUUR,Woning (Ajaiso Pavion),Huurpand,Goed,,Sipaliwinie,Kajana,Directoraat Onderwijs,2-Oct-20
35,ONDERWIJS WETENSCHAP EN CULTUUR,Woning (Dinge Ndepe),Huurpand,Goed,,Sipaliwinie,Kajana (Gran Rio),Directoraat Onderwijs,2-Oct-20
1,JUSTITIE EN POLITIE,Centrale Penitentiare inrichting,Eigendom,,in gebruik,Wanica,Welgedacht A weg 273,Onbekend,8-Aug-20
2,JUSTITIE EN POLITIE,Nieuw huis van bewaring,Eigendom,,in gebruik,Wanica,Welgedacht A weg 273,Onbekend,8-Aug-20
3,JUSTITIE EN POLITIE,Penitentiare inrichting duisburglaan,Eigendom,,in gebruik,wanica,Duisburglaan  43,Onbekend,8-Aug-20
4,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Wanica,Bruikleen,Redelijk,in gebruik,Wanica,Tawajariweg  20,E.C.D. en Ondernemerschap,8-Aug-20
5,GRONDBELEID EN BOSBEHEER,Dependance Wanica,Huur (gratis van de DC),Redelijk,in gebruik,Wanica,Tawajariweg (DC complex),Kantoor,17-Aug-20
6,BINNENLANDSE ZAKEN,BVB Domburg,Huurpand,Slecht,in gebruik,Wanica,Sr. W. Churchillweg  783,Diverse diensten CBB,20-Aug-20
7,BINNENLANDSE ZAKEN,BVB Lelydorp,Eigendom,Goed,in gebruik,Wanica,Tawajarieweg,Diverse diensten CBB,20-Aug-20
8,BINNENLANDSE ZAKEN,BVB Pad van Wanica,Huurpand,Redelijk,in gebruik,Wanica,Ind. Ghandieweg  557,Diverse diensten CBB,20-Aug-20
9,BINNENLANDSE ZAKEN,BVB Santodorp,Huurpand,Slecht,in gebruik,Wanica,Nw. Weergevonden  473,Diverse diensten CBB,20-Aug-20
10,BINNENLANDSE ZAKEN,BVB Leiding,Geb Min RO,Redelijk,in gebruik,Wanica,Comm. Weythingweg  310,Diverse diensten CBB,20-Aug-20
11,BINNENLANDSE ZAKEN,BVB Koewarasan,Huurpand,Goed,in gebruik,Wanica,Bomapolderweg,Diverse diensten CBB,20-Aug-20
12,BINNENLANDSE ZAKEN,BVB Houttuin,Huurpand,Redelijk,in gebruik,Wanica,Pelthophorumlaan  18,Diverse diensten CBB,20-Aug-20
13,OPENBARE WERKEN,Onderhoud Wegen,eigendom,,,Wanica,Leiding 7B; Commissariswetingweg 608,Directoraat Civiel Technische Werken,
14,OPENBARE WERKEN,Onderhoud Wegen,eigendom,,,Wanica,Domburg; S.W. Churchillweg 124,Directoraat Civiel Technische Werken,
15,OPENBARE WERKEN,Onderhoud Wegen,eigendom,,,Wanica,Lelydorp; Lelydorperweg 3,Directoraat Civiel Technische Werken,
16,OPENBARE WERKEN,"Vuilstortplaats ""Ornamibo""",nog niet duidelijk,,,Wanica,Martin Lutherkingweg,Directoraat Civiel Technische Werken,
17,OPENBARE WERKEN,Ornamibosluis,eigendom,,,Wanica,Sir Winstonchurchillweg,Directoraat Civiel Technische Werken,
18,OPENBARE WERKEN,Sluis Houttuin,eigendom,,,Wanica,Dwarkalaan,Directoraat Civiel Technische Werken,
19,OPENBARE WERKEN,Suhozasluis,eigendom,,,Wanica,Stivistraat,Directoraat Civiel Technische Werken,
20,OPENBARE WERKEN,WANICA,zie opm,,,Wanica,Nieuwegrond,Directoraat Openbaar Groen,
21,OPENBARE WERKEN,WANICA,zie opm,,,Wanica,Welgedacht C,Directoraat Openbaar Groen,
22,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA WANICA 1 (Centraal kantoor),Eigendom van de Staat,,,Wanica,Lelydorp,Onbekend,29-Sep-20
23,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA WANICA 1 (Wijk 1),Eigendom van de Staat,,,Wanica,Lelydorp,Onbekend,29-Sep-20
24,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA WANICA 1 (Wijk 9),Eigendom van de Staat,,,Wanica,Lelydorp,Onbekend,29-Sep-20
25,DEFENSIE,Marine Basis Boxel,Ter beschikking,Goed,in gebruik,Wanica,Sir Winston Churchillweg  629 Pc,Operationele/Administratie,2-Oct-20
26,ONDERWIJS WETENSCHAP EN CULTUUR,Bahadoersing R.S. (School t.b.v. O.S. Verl. Tout Lui Fautweg),Huurpand,Redelijk,1 okt. 2009-Heden (Stilzwijgend),Wanica,Verl Tout Lui Fautweg,Directoraat Onderwijs,9-Oct-20
27,ONDERWIJS WETENSCHAP EN CULTUUR,Balesar-Samoedjh I. (School t.b.v. O.S. Penny en John),Huurpand,Redelijk,1 juni 2009-Heden,Wanica,Pandit Paltan Tewarieweg  130,Directoraat Onderwijs,9-Oct-20
29,LANDBOUW VEETEELT & VISSERIJ,VKI kantoor incl. laboratorium,CEVIHAS,Goed,,Wanica,Bathesda  ,Onbekend,2015
30,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw LVV Nieuwe grond,Eigendom,Redelijk,,Wanica,Indira Gandhiweg,Onbekend,2015
31,LANDBOUW VEETEELT & VISSERIJ,LVV Wanica-C,Eigendom,Redelijk,,Wanica,Corespurgweg,Onbekend,2015
32,LANDBOUW VEETEELT & VISSERIJ,Dienstwoning,Eigendom,Slecht,,Wanica,Corespurgweg,Onbekend,2015
33,LANDBOUW VEETEELT & VISSERIJ,Dienstwoning,Eigendom,Slecht,,Wanica,Corespurgweg,Onbekend,2015
34,LANDBOUW VEETEELT & VISSERIJ,LVV CT complex,Eigendom,Goed,,Wanica,Tampoeaweg-Peprepinweg,Onbekend,2015
35,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Rayon Houttuin,Eigendom,Redelijk,,Wanica,Flamboyantlaan  3,Onbekend,2015
36,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoningen Houttuin,Eigendom,Slecht,,Wanica,Flamboyantlaan  5,Onbekend,2015
37,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoningen Houttuin,Eigendom,Slecht,,Wanica,Flamboyantlaan  7,Onbekend,2015
38,LANDBOUW VEETEELT & VISSERIJ,Citruskwekerij,Eigendom,Goed,,Wanica,Nekoehoedoelaan,Onbekend,2015
39,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Rayon Uitkijk,Eigendom,Goed,,Wanica,Uitkijk,Onbekend,2015
40,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Para,Eigendom,Goed,,Wanica,Lelydorperweg,Onbekend,2015
41,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Domburg,Eigendom,Slecht,,Wanica,Sr Winston Churchillweg,Onbekend,2015
42,LANDBOUW VEETEELT & VISSERIJ,Dienstwoning,Eigendom,Slecht,,Wanica,Sr Winston Churchillweg,Onbekend,2015
43,LANDBOUW VEETEELT & VISSERIJ,Proeftuin Boma,STIPRIS,,,Wanica,Peprepinweg,Onbekend,2015
44,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoning ,STIPRIS,Goed,,Wanica,Peprepinweg,Onbekend,2015
45,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw,STIPRIS,Slecht,,Wanica,Peprepinweg,Onbekend,2015
46,LANDBOUW VEETEELT & VISSERIJ,loods,STIPRIS,Slecht,,Wanica,Peprepinweg,Onbekend,2015
110,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,C.G. Willemstad,Gehuurd,Aan reparatie toe,in gebruik,Willemstad,"Kaya Jacob Posner 11 Unit 108 Zeelandia, Curacou (Kanselarij)",Onbekend,13-Aug-20
49,JUSTITIE EN POLITIE,Hof van Justitie,Eigendom,Goed,in gebruik,,Tamarindelaan  3,Onbekend,8-Aug-20
111,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Ambassade Havana,Gehuurd,,in gebruik,,Ave 3 Ra e 76Y78EDiF Beijing Miramar (Kanselarij),Onbekend,13-Aug-20
112,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Ambassade Washington,Gehuurd,,in gebruik,,4301 Connecticut ave. NW. Suite 460 Wash. DC. 20008 (Kanselarij),Onbekend,13-Aug-20
329,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARA (Wijk 3),Eigendom van de Staat,,,,La Vigilantia/R.O. Gebouw,Onbekend,2-Oct-20
330,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARA (Centraal kantoor),Eigendom van de Staat,,,,Misgunstweg  14,Onbekend,2-Oct-20
331,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARA (Wijk 1),Eigendom van de Staat,,,,Twatwastraat  2,Onbekend,2-Oct-20
332,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARA,,,,,Volkswoningbouwproject,Onbekend,2-Oct-20
333,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARA (Wijk 2),Eigendom van de Staat,,,,Chandisawweg  202,Onbekend,2-Oct-20
334,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA SARAMACCA,,,,,Jarikaba,Onbekend,2-Oct-20
335,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA SARAMACCA (Wijk 3),Eigendom van de Staat,,,,Kampong Baroe  238,Onbekend,2-Oct-20
336,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA SARAMACCA (Wijk 4),Eigendom van de Staat,,,,Catharina Sophia  206,Onbekend,2-Oct-20
337,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA SARAMACCA (Wijk 5),Eigendom van de Staat,,,,Catharina Sophia  597,Onbekend,2-Oct-20
338,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA SARAMACCA,,,,,Km. 60,Onbekend,2-Oct-20
339,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA CORONIE (Centraal kantoor),Eigendom van de Staat,,,,Soemboredjo,Onbekend,2-Oct-20
340,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA CORONIE (Wijk 1),Eigendom van de Staat,,,,Friendship,Onbekend,2-Oct-20
341,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA NICKERIE (Centraal kantoor),Eigendom van de Staat,,,,A.K. Doergasawstraat  96,Onbekend,2-Oct-20
342,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA NICKERIE (Wijk 1),Eigendom van de Staat,,,,A.K. Doergasawstraat  96,Onbekend,2-Oct-20
343,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA NICKERIE (Wijk 2),Eigendom van de Staat,,,,Fredericiweg  779,Onbekend,2-Oct-20
344,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA NICKERIE (Wijk 3),Eigendom van de Staat,,,,Corantijn Pld.,Onbekend,2-Oct-20
345,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA NICKERIE (Wijk 5),Eigendom van de Staat,,,,Sarolyslaan,Onbekend,2-Oct-20
346,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA BROKOPONDO (Centraal kantoor),Eigendom van de Staat,,,,Centrum Brokopondo,Onbekend,2-Oct-20
347,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA BROKOPONDO (Wijk 1),Eigendom van de Staat,,,,Centrum Brokopondo,Onbekend,2-Oct-20
348,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA SIPALIWINI (Wijk 1),Eigendom van de Staat,,,,Atjoni,Onbekend,2-Oct-20
414,ONDERWIJS WETENSCHAP EN CULTUUR,Surinaamse Islamitische Vereniging (S.I.V.) (School t.b.v. VWO-4 en IMEAO-4),Huurpand,Redelijk,1 Okt. 2011-Heden ,,Wicherstraat,Directoraat Onderwijs,9-Oct-20
415,ONDERWIJS WETENSCHAP EN CULTUUR,Surinaamse Islamitische Vereniging (S.I.V.) (School t.b.v. HAVO-3 en HHS-Dep),Huurpand,Redelijk,1 okt. 2011 (Stilzwijgend),,Welgedacht C,Directoraat Onderwijs,9-Oct-20
416,ONDERWIJS WETENSCHAP EN CULTUUR,Vereniging Waidiek Sanatan Dharm Vishnu (School t.b.v. O.S. Livorno),Huurpand,Redelijk,1 okt. 2013 (Stilzwijgend),,Pandit Paltan Tewarieweg  130,Directoraat Onderwijs,9-Oct-20
417,ONDERWIJS WETENSCHAP EN CULTUUR,Vereniging Sanatan Dharm Maha Sabha Suriname (School t.b.v. IMEAO-5),Huurpand,Redelijk,1 sept. 2019-30 sept. 2020,,Hk. Magentakanaalweg en Hannaslustweg,Directoraat Onderwijs,9-Oct-20
427,ONDERWIJS WETENSCHAP EN CULTUUR,Stchting Marecha (School t.b.v. O.S. Penny en John),Huurpand,Redelijk,1 sept. 2008-30 sept. 2021,,Nieuwe Grondweg,Directoraat Onderwijs,9-Oct-20
430,ONDERWIJS WETENSCHAP EN CULTUUR,Soekradj D. (School t.b.v. O.S. Santopolder),Huurpand,Redelijk,1 okt. 2012-Heden (Stilzwijgend),,Santopolder  180,Directoraat Onderwijs,9-Oct-20
435,ONDERWIJS WETENSCHAP EN CULTUUR,Kamta Kalawatie-Kalikadien (School t.b.v. O.S. Ephraimzegen),Huurpand,Redelijk,1 okt. 2017-Heden,,Rust en Werkweg,Directoraat Onderwijs,9-Oct-20
437,ONDERWIJS WETENSCHAP EN CULTUUR,Stichting Onderwijs de Evangelische Broeder gemeente Suriname (School t.b.v. A.R. Leeuwinschool),Huurpand,Redelijk,1 okt. 2004-Heden,,Saronweg ,Directoraat Onderwijs,9-Oct-20
438,ONDERWIJS WETENSCHAP EN CULTUUR,Global Teenager Project Suriname (GTP-Suriname)/Stibula (School t.b.v. LBGO-Scholieren),Huurpand,Redelijk,1 okt. 2005-1 okt. 2007,,Pingostraat (Latour) ,Directoraat Onderwijs,9-Oct-20
439,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Drambrandersgracht,Eigendom,Redelijk,,,Drambrandersgracht,Directoraat Onderwijs,9-Oct-20
440,ONDERWIJS WETENSCHAP EN CULTUUR,Opa Doelie,Eigendom,Redelijk,,,Limesgracht,Directoraat Onderwijs,9-Oct-20
441,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Mastklimmen,Eigendom,Redelijk,,,Mastklimmenstraat  28,Directoraat Onderwijs,9-Oct-20
442,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Hanna's Lust,Eigendom,Redelijk,,,Asankemoestraat  1,Directoraat Onderwijs,9-Oct-20
443,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Geyersvlijt,Eigendom,Redelijk,,,Baronstraat  5,Directoraat Onderwijs,9-Oct-20
444,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Geyersvlijt,Eigendom,Redelijk,,,Joli Coeurstraat ,Directoraat Onderwijs,9-Oct-20
445,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Clevia,Eigendom,Redelijk,,,Pisangrodjostraat  24,Directoraat Onderwijs,9-Oct-20
446,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Blauwgrond,Eigendom,Redelijk,,,Constant Vredenstraat  67-69,Directoraat Onderwijs,9-Oct-20
447,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Tourtonne III,Eigendom,Redelijk,,,Max Woiskistraat,Directoraat Onderwijs,9-Oct-20
448,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Devisbuiten,Eigendom,Redelijk,,,Amsoistraat,Directoraat Onderwijs,9-Oct-20
449,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Albergastraat,Eigendom,Redelijk,,,Albergastraat  25,Directoraat Onderwijs,9-Oct-20
450,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Stolkbuiten,Eigendom,Redelijk,,,Stolkweg-Oost  29,Directoraat Onderwijs,9-Oct-20
451,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Petuniastraat,Eigendom,Goed,,,Hk. Petunia-/Residastraat  25,Directoraat Onderwijs,9-Oct-20
452,ONDERWIJS WETENSCHAP EN CULTUUR,J.H.N. Polanen I,Eigendom,Redelijk,,,Commewijnestraat  27,Directoraat Onderwijs,9-Oct-20
453,ONDERWIJS WETENSCHAP EN CULTUUR,J.H.N. Polanen II,Eigendom,Redelijk,,,Commewijnestraat  27,Directoraat Onderwijs,9-Oct-20
454,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Marowijneproject,Eigendom,Redelijk,,,Goninistraat  4,Directoraat Onderwijs,9-Oct-20
455,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Marowijneproject,Eigendom,Goed,,,Goninistraat  4b,Directoraat Onderwijs,9-Oct-20
456,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Flora,Eigendom,Redelijk,,,Racaracastraat  2,Directoraat Onderwijs,9-Oct-20
457,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Flora,Eigendom,Redelijk,,,Lantanastraat,Directoraat Onderwijs,9-Oct-20
458,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. III Flora,Eigendom,Redelijk,,,Gijsbert Dijkstellstraat,Directoraat Onderwijs,9-Oct-20
459,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Welgedacht C,Eigendom,Redelijk,,,Indiragandhiweg  509,Directoraat Onderwijs,9-Oct-20
460,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. L.R. Rahan,Eigendom,Redelijk,,,Indiragandhiweg  509,Directoraat Onderwijs,9-Oct-20
462,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. I Houttuin,Eigendom,Redelijk,,,Nekoehoedoelaan  3,Directoraat Onderwijs,9-Oct-20
463,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Houttuin,Eigendom,Redelijk,,,Cassialaan  184,Directoraat Onderwijs,9-Oct-20
464,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Tout Lui Faut,Eigendom,Redelijk,,,Dr. M.L. Kingweg km. 189,Directoraat Onderwijs,9-Oct-20
465,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Verl. Tout Lui Faut,Eigendom,Slecht,,,Verl. Tout Lui Fautweg  163,Directoraat Onderwijs,9-Oct-20
466,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. R. Sewbaranschool,Eigendom,Goed,,,Pt. P. Tewarieweg  138-140,Directoraat Onderwijs,9-Oct-20
467,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. II Livorno,Eigendom,Redelijk,,,Pt. P. Tewarieweg  29-31,Directoraat Onderwijs,9-Oct-20
468,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Penny en John,Eigendom,Redelijk,,,De Nieuwe Grondweg  223,Directoraat Onderwijs,9-Oct-20
469,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Dijkveld,Eigendom,Redelijk,,,Pierpontweg  29,Directoraat Onderwijs,9-Oct-20
470,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Vredenburg,Eigendom,Redelijk,,,Malangweg  64,Directoraat Onderwijs,9-Oct-20
471,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Peu et Content,Eigendom,Redelijk,,,Paulinestraat  2-4,Directoraat Onderwijs,9-Oct-20
472,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Munderbuiten,Eigendom,Redelijk,,,Munderweg  40,Directoraat Onderwijs,9-Oct-20
473,ONDERWIJS WETENSCHAP EN CULTUUR,H.J.M. Khargi Vishnudatt,Eigendom,Redelijk,,,Kwattaweg  618,Directoraat Onderwijs,9-Oct-20
474,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. R.L. van Gennip,Eigendom,Redelijk,,,Welgelegenstraat  50,Directoraat Onderwijs,9-Oct-20
475,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Bolletriehe,Eigendom,Redelijk,,,Kwepiweg  5,Directoraat Onderwijs,9-Oct-20
476,ONDERWIJS WETENSCHAP EN CULTUUR,O.S. Huwelijkszorg,Eigendom,Redelijk/Slecht,,,P. Gangaram Pandayweg km. 24 1/2,Directoraat Onderwijs,9-Oct-20
